date,UCRY Policy Index,UCRY Price Index
2015-10-01,99.64493383285713,99.60926722571429
2015-10-02,99.70136428857143,99.64364552714287
2015-10-03,99.7577947442857,99.67802382857143
2015-10-04,99.8142252,99.71240213
2015-10-05,99.80011758571428,99.69712288428572
2015-10-06,99.78600997142857,99.68184363857142
2015-10-07,99.77190235714285,99.66656439285714
2015-10-08,99.75779474285714,99.65128514714286
2015-10-09,99.74368712857142,99.63600590142858
2015-10-10,99.72957951428572,99.62072665571428
2015-10-11,99.7154719,99.60544741
2015-10-12,99.66609525285715,99.55578986428571
2015-10-13,99.61671860571428,99.50613231857143
2015-10-14,99.56734195857143,99.45647477285715
2015-10-15,99.51796531142857,99.40681722714285
2015-10-16,99.46858866428572,99.35715968142857
2015-10-17,99.41921201714285,99.30750213571429
2015-10-18,99.36983537,99.25784459
2015-10-19,99.37336227285715,99.27503374142857
2015-10-20,99.37688917571428,99.29222289285715
2015-10-21,99.38041607857143,99.30941204428572
2015-10-22,99.38394298142858,99.32660119571429
2015-10-23,99.38746988428572,99.34379034714286
2015-10-24,99.39099678714285,99.36097949857144
2015-10-25,99.39452369,99.37816865
2015-10-26,99.44390033714286,99.42018657285715
2015-10-27,99.49327698428571,99.46220449571429
2015-10-28,99.54265363142858,99.50422241857143
2015-10-29,99.59203027857143,99.54624034142857
2015-10-30,99.64140692571429,99.58825826428571
2015-10-31,99.69078357285714,99.63027618714285
2015-11-01,99.74016022,99.67229411
2015-11-02,99.69078357285714,99.63791580857142
2015-11-03,99.64140692571429,99.60353750714286
2015-11-04,99.59203027857143,99.56915920571429
2015-11-05,99.54265363142858,99.53478090428571
2015-11-06,99.49327698428571,99.50040260285714
2015-11-07,99.44390033714286,99.46602430142858
2015-11-08,99.39452369,99.431646
2015-11-09,99.39805059285715,99.42591628428572
2015-11-10,99.40157749571428,99.42018656857142
2015-11-11,99.40510439857142,99.41445685285714
2015-11-12,99.40863130142857,99.40872713714286
2015-11-13,99.41215820428572,99.40299742142858
2015-11-14,99.41568510714285,99.39726770571428
2015-11-15,99.41921201,99.39153799
2015-11-16,99.40157749285714,99.38389836714286
2015-11-17,99.38394297571428,99.37625874428572
2015-11-18,99.36630845857142,99.36861912142858
2015-11-19,99.34867394142857,99.36097949857142
2015-11-20,99.33103942428572,99.35333987571428
2015-11-21,99.31340490714285,99.34570025285714
2015-11-22,99.29577039,99.33806063
2015-11-23,99.27108206714286,99.31514176285714
2015-11-24,99.24639374428571,99.29222289571429
2015-11-25,99.22170542142857,99.26930402857143
2015-11-26,99.19701709857144,99.24638516142858
2015-11-27,99.17232877571429,99.22346629428571
2015-11-28,99.14764045285715,99.20054742714287
2015-11-29,99.12295213,99.17762856
2015-11-30,99.19701710142857,99.23110591714286
2015-12-01,99.27108207285714,99.28458327428572
2015-12-02,99.34514704428571,99.33806063142858
2015-12-03,99.4192120157143,99.39153798857143
2015-12-04,99.49327698714286,99.44501534571428
2015-12-05,99.56734195857143,99.49849270285715
2015-12-06,99.64140693,99.55197006
2015-12-07,99.57439576428571,99.51950166428571
2015-12-08,99.50738459857143,99.48703326857144
2015-12-09,99.44037343285714,99.45456487285715
2015-12-10,99.37336226714285,99.42209647714286
2015-12-11,99.30635110142856,99.38962808142857
2015-12-12,99.23933993571428,99.3571596857143
2015-12-13,99.17232877,99.32469129
2015-12-14,99.22523232142856,99.32851110142857
2015-12-15,99.27813587285713,99.33233091285715
2015-12-16,99.3310394242857,99.33615072428572
2015-12-17,99.38394297571429,99.33997053571429
2015-12-18,99.43684652714286,99.34379034714286
2015-12-19,99.48975007857143,99.34761015857143
2015-12-20,99.54265363,99.35142997
2015-12-21,99.48269627285714,99.31323185714285
2015-12-22,99.42273891571429,99.27503374428571
2015-12-23,99.36278155857143,99.23683563142856
2015-12-24,99.30282420142858,99.19863751857143
2015-12-25,99.24286684428571,99.16043940571429
2015-12-26,99.18290948714287,99.12224129285714
2015-12-27,99.12295213,99.08404318
2015-12-28,99.10884451571428,99.07640355857143
2015-12-29,99.09473690142858,99.06876393714285
2015-12-30,99.08062928714286,99.06112431571428
2015-12-31,99.06652167285715,99.05348469428571
2016-01-01,99.05241405857143,99.04584507285715
2016-01-02,99.03830644428572,99.03820545142857
2016-01-03,99.02419883,99.03056583
2016-01-04,99.12295212571429,99.11460167571428
2016-01-05,99.22170542142857,99.19863752142857
2016-01-06,99.32045871714286,99.28267336714285
2016-01-07,99.41921201285714,99.36670921285715
2016-01-08,99.51796530857143,99.45074505857143
2016-01-09,99.61671860428571,99.53478090428571
2016-01-10,99.7154719,99.61881675
2016-01-11,99.71194499714285,99.62263656142856
2016-01-12,99.70841809428572,99.62645637285713
2016-01-13,99.70489119142857,99.6302761842857
2016-01-14,99.70136428857143,99.63409599571429
2016-01-15,99.69783738571428,99.63791580714286
2016-01-16,99.69431048285715,99.64173561857143
2016-01-17,99.69078358,99.64555543
2016-01-18,99.71547190285715,99.66274458
2016-01-19,99.74016022571429,99.67993373
2016-01-20,99.76484854857144,99.69712288
2016-01-21,99.78953687142857,99.71431203
2016-01-22,99.81422519428571,99.73150118
2016-01-23,99.83891351714286,99.74869033
2016-01-24,99.86360184,99.76587948
