date_hour,Open,High,Low,Close,Close_Rt
2021-08-15,3263.16000000,3320.00000000,3111.13000000,3307.09000000,1.3372597588089221
2021-08-16,3307.35000000,3335.00000000,3135.22000000,3146.53000000,-4.976839028511811
2021-08-17,3147.18000000,3290.00000000,2991.89000000,3011.72000000,-4.3788914213628045
2021-08-18,3011.73000000,3125.81000000,2950.00000000,3014.55000000,0.09392211792826106
2021-08-19,3014.18000000,3188.00000000,2958.33000000,3184.12000000,5.47253904057971
2021-08-20,3184.11000000,3300.00000000,3177.16000000,3284.82000000,3.113590020059532
2021-08-21,3284.81000000,3309.16000000,3207.00000000,3223.43000000,-1.886584590860062
2021-08-22,3223.36000000,3272.00000000,3126.42000000,3238.00000000,0.4509845249292537
2021-08-23,3238.00000000,3377.89000000,3230.02000000,3321.28000000,2.5394395539343884
2021-08-24,3321.28000000,3357.85000000,3147.31000000,3170.62000000,-4.642309843336153
2021-08-25,3170.63000000,3248.00000000,3080.00000000,3226.87000000,1.7585474802417882
2021-08-26,3226.88000000,3250.00000000,3053.30000000,3093.20000000,-4.230647341110019
2021-08-27,3093.06000000,3280.00000000,3060.18000000,3273.45000000,5.663832085823803
2021-08-28,3273.89000000,3287.00000000,3210.31000000,3244.48000000,-0.8889383828903477
2021-08-29,3244.75000000,3285.00000000,3152.34000000,3223.47000000,-0.6496671711105125
2021-08-30,3223.47000000,3347.95000000,3143.00000000,3229.64000000,0.1912256843651099
2021-08-31,3229.14000000,3476.00000000,3188.77000000,3429.20000000,5.99563219078398
2021-09-01,3429.19000000,3842.00000000,3382.22000000,3826.82000000,10.970717328448963
2021-09-02,3826.82000000,3836.80000000,3717.04000000,3785.82000000,-1.077166303167061
2021-09-03,3785.82000000,4027.88000000,3705.05000000,3938.11000000,3.943840471242703
2021-09-04,3938.11000000,3970.00000000,3832.50000000,3885.52000000,-1.3444089791113096
2021-09-05,3885.61000000,3980.00000000,3830.00000000,3950.29000000,1.6532170943003768
2021-09-06,3950.28000000,3970.00000000,3864.30000000,3926.77000000,-0.5971788941050193
2021-09-07,3926.67000000,3947.15000000,3005.00000000,3434.57000000,-13.39254691106614
2021-09-08,3434.84000000,3560.00000000,3215.16000000,3499.00000000,1.8585477497661955
2021-09-09,3499.01000000,3567.06000000,3390.40000000,3424.93000000,-2.1396179836424687
2021-09-10,3424.94000000,3514.11000000,3150.00000000,3208.86000000,-6.516529967132848
2021-09-11,3208.85000000,3348.37000000,3200.00000000,3267.21000000,1.802067583050709
2021-09-12,3267.10000000,3474.16000000,3231.10000000,3404.21000000,4.107649122685121
2021-09-13,3404.30000000,3430.30000000,3108.49000000,3285.35000000,-3.553970977302178
2021-09-14,3285.09000000,3437.05000000,3269.95000000,3434.37000000,4.436031157768315
2021-09-15,3434.37000000,3616.16000000,3357.78000000,3613.55000000,5.085716590548916
2021-09-16,3613.55000000,3676.28000000,3481.14000000,3567.98000000,-1.269105932441989
2021-09-17,3567.97000000,3594.17000000,3350.07000000,3399.81000000,-4.828006161318914
2021-09-18,3399.89000000,3541.96000000,3368.88000000,3435.64000000,1.0483677933386986
2021-09-19,3435.64000000,3456.53000000,3277.74000000,3328.62000000,-3.1645421956531194
2021-09-20,3328.57000000,3347.82000000,2913.39000000,2977.28000000,-11.154767165655489
2021-09-21,2977.32000000,3105.83000000,2652.00000000,2765.90000000,-7.364405272892737
2021-09-22,2766.72000000,3088.88000000,2737.54000000,3076.92000000,10.656301735282845
2021-09-23,3076.92000000,3174.50000000,3033.85000000,3152.50000000,2.426669220503795
2021-09-24,3152.41000000,3158.52000000,2733.00000000,2928.53000000,-7.369519820941211
2021-09-25,2928.22000000,2967.52000000,2801.57000000,2921.73000000,-0.2324684052454036
2021-09-26,2921.84000000,3115.51000000,2738.17000000,3059.37000000,4.603310581959574
