"","TCI"
"2020-07-11",66.6855469402857
"2020-07-12",66.4964007619486
"2020-07-13",68.6892926706774
"2020-07-14",68.0483820897015
"2020-07-15",68.2418943664884
"2020-07-16",68.2079677339614
"2020-07-17",68.1741305156494
"2020-07-18",68.3965400817875
"2020-07-19",67.9383258041852
"2020-07-20",68.4652590582023
"2020-07-21",68.3288666976548
"2020-07-22",67.8874526717473
"2020-07-23",67.6521489741398
"2020-07-24",67.5296557901069
"2020-07-25",66.5309847158965
"2020-07-26",66.0946352345844
"2020-07-27",64.9042254900845
"2020-07-28",62.7620999380753
"2020-07-29",62.3461041668632
"2020-07-30",61.0674701101319
"2020-07-31",60.6827005601008
"2020-08-01",62.4877907512968
"2020-08-02",67.1666396911566
"2020-08-03",67.1536895841253
"2020-08-04",66.5077480491125
"2020-08-05",66.0845390687004
"2020-08-06",65.6741529862019
"2020-08-07",66.2343898714873
"2020-08-08",66.6183350115627
"2020-08-09",66.692291100266
"2020-08-10",66.0815096629581
"2020-08-11",66.826140208966
"2020-08-12",66.8808557939657
"2020-08-13",67.5755419362422
"2020-08-14",66.9879182259428
"2020-08-15",66.4334351786656
"2020-08-16",66.1287993560207
"2020-08-17",64.8886811905243
"2020-08-18",65.4687755446374
"2020-08-19",65.7973454710915
"2020-08-20",66.6760462554701
"2020-08-21",67.0903918945907
"2020-08-22",67.3009404189456
"2020-08-23",67.1272225417859
"2020-08-24",65.8942671021537
"2020-08-25",67.0826194314152
"2020-08-26",67.1567577586693
"2020-08-27",66.3938577030896
"2020-08-28",65.7349957665206
"2020-08-29",65.2056269356162
"2020-08-30",64.08501369852
"2020-08-31",63.7665685045927
"2020-09-01",63.0956441480762
"2020-09-02",64.325007361029
"2020-09-03",69.2503345626618
"2020-09-04",71.2014235596591
"2020-09-05",70.8454058986265
"2020-09-06",70.1439085390882
"2020-09-07",69.147617599594
"2020-09-08",69.3022375315545
"2020-09-09",69.386220293685
"2020-09-10",69.2306914524865
"2020-09-11",69.2403547214042
"2020-09-12",68.8816709853681
"2020-09-13",68.6844515677021
"2020-09-14",67.9555680907709
"2020-09-15",66.798853155893
"2020-09-16",66.4123009150487
"2020-09-17",66.1183898796112
"2020-09-18",65.7308813720887
"2020-09-19",65.5836665706941
"2020-09-20",65.4292445678474
"2020-09-21",67.0541983569839
"2020-09-22",67.760142396448
"2020-09-23",67.6794820384751
"2020-09-24",68.2991625951629
"2020-09-25",67.6327889654126
"2020-09-26",67.5184202395428
"2020-09-27",67.5243486911748
"2020-09-28",67.6479720566878
"2020-09-29",67.6632365520489
"2020-09-30",67.5759385500088
"2020-10-01",67.5765682579995
"2020-10-02",67.5308489223785
"2020-10-03",67.6128443075465
"2020-10-04",67.5925694509992
"2020-10-05",66.4372268747456
"2020-10-06",66.700088382343
"2020-10-07",66.7420720795847
"2020-10-08",66.6931117743993
"2020-10-09",66.6323184805737
"2020-10-10",66.5618940877851
"2020-10-11",66.4678428107065
"2020-10-12",67.2149331173522
"2020-10-13",67.5397127101062
"2020-10-14",67.4887966776245
"2020-10-15",67.4641465307664
"2020-10-16",67.4521874767003
"2020-10-17",67.3620850750535
"2020-10-18",67.4473191546004
"2020-10-19",70.1726455590183
"2020-10-20",70.2341907419453
"2020-10-21",70.908975407284
"2020-10-22",70.5414235671822
"2020-10-23",71.1764160145196
"2020-10-24",71.0406471317766
"2020-10-25",70.8783409044816
"2020-10-26",70.2979413744605
"2020-10-27",69.7927091281917
"2020-10-28",70.0256029789376
"2020-10-29",69.8901418795985
"2020-10-30",69.6470835381229
"2020-10-31",69.740878054315
"2020-11-01",69.5078946620188
"2020-11-02",69.8128349379981
"2020-11-03",69.0039863156193
"2020-11-04",68.8964360205461
"2020-11-05",68.9275845636603
"2020-11-06",68.4606567757699
"2020-11-07",71.5631388542677
"2020-11-08",71.2570922479362
"2020-11-09",71.5511624327113
"2020-11-10",71.0908479641148
"2020-11-11",70.3389252222821
"2020-11-12",70.1292327607746
"2020-11-13",69.932674144575
"2020-11-14",69.7377461437944
"2020-11-15",69.9359701603203
"2020-11-16",72.2327409568528
"2020-11-17",71.7982431747854
"2020-11-18",71.8571303016771
"2020-11-19",70.9884898638028
"2020-11-20",71.5367131764173
"2020-11-21",71.3189316921899
"2020-11-22",70.911970656134
"2020-11-23",69.6901717458453
"2020-11-24",67.3715803594073
"2020-11-25",71.4896901660402
"2020-11-26",72.6445928956834
"2020-11-27",73.3967801941762
"2020-11-28",74.1373973158929
"2020-11-29",73.4912490156443
"2020-11-30",72.8467671483673
"2020-12-01",73.5537486700676
"2020-12-02",73.4580852013546
"2020-12-03",73.4589407805431
"2020-12-04",73.8752559886844
"2020-12-05",73.986184783335
"2020-12-06",73.8911659218605
"2020-12-07",74.2891050426347
"2020-12-08",74.4941895132523
"2020-12-09",74.6263453798543
"2020-12-10",74.5964266472119
"2020-12-11",74.5986349969857
"2020-12-12",74.3992934463752
"2020-12-13",74.3526116288749
"2020-12-14",74.1175738829393
"2020-12-15",73.8799126719167
"2020-12-16",73.567445826992
"2020-12-17",73.3104268846738
"2020-12-18",72.701706513399
"2020-12-19",72.1742071178235
"2020-12-20",70.6711694679079
"2020-12-21",70.4933255571852
"2020-12-22",68.129577071284
"2020-12-23",69.8098253876314
"2020-12-24",70.3809123938077
"2020-12-25",69.5479590472522
"2020-12-26",68.8186330010079
"2020-12-27",68.0304373439241
"2020-12-28",67.3836001173368
"2020-12-29",66.6898093248613
"2020-12-30",65.4874189039067
"2020-12-31",65.1598857456332
"2021-01-01",64.6851702087363
"2021-01-02",62.6331496474322
"2021-01-03",58.9574886079115
"2021-01-04",61.5072544470389
"2021-01-05",60.4089617588079
"2021-01-06",60.4413481266876
"2021-01-07",57.3356951597464
"2021-01-08",58.2928698550897
"2021-01-09",57.0113230084841
"2021-01-10",57.2929285108366
"2021-01-11",57.8999758737053
"2021-01-12",58.1974735376104
"2021-01-13",60.5358290309469
"2021-01-14",60.1179263864637
"2021-01-15",60.6855616206726
"2021-01-16",59.8301845567571
"2021-01-17",59.7399484851483
"2021-01-18",58.8332880666884
"2021-01-19",58.0231016963306
"2021-01-20",57.7181228035676
"2021-01-21",60.4912737163544
"2021-01-22",62.2857329318148
"2021-01-23",62.4936967634712
"2021-01-24",62.2412761504718
"2021-01-25",61.4399531360069
"2021-01-26",60.0329318046395
"2021-01-27",60.3324271095945
"2021-01-28",59.1088838529032
"2021-01-29",58.059279721883
"2021-01-30",57.183088004311
"2021-01-31",57.3573250509094
"2021-02-01",56.3310106671439
"2021-02-02",54.4114052563019
"2021-02-03",53.6365866818337
"2021-02-04",51.3341640110038
"2021-02-05",51.7583932468476
"2021-02-06",51.4836740151794
"2021-02-07",50.6567098187838
"2021-02-08",52.228092678943
"2021-02-09",51.0628515236417
"2021-02-10",49.087727852749
"2021-02-11",48.4473384945187
"2021-02-12",47.8264302282903
"2021-02-13",47.000808943668
"2021-02-14",46.2730009561969
"2021-02-15",45.4464533746067
"2021-02-16",45.4008227979998
"2021-02-17",45.0069375402731
"2021-02-18",44.1672158375091
"2021-02-19",43.8739723447144
"2021-02-20",43.9466594422702
"2021-02-21",43.6688886069088
"2021-02-22",44.1103304697727
"2021-02-23",45.9268015591065
"2021-02-24",48.7440342697344
"2021-02-25",48.4035032406079
"2021-02-26",47.9786238188416
"2021-02-27",47.8268611960991
"2021-02-28",47.3052447388624
"2021-03-01",47.2942960999374
"2021-03-02",48.0331568075113
"2021-03-03",48.0066956060659
"2021-03-04",47.8432073633292
"2021-03-05",47.2768361576681
"2021-03-06",47.1734469672024
"2021-03-07",47.15884209499
"2021-03-08",47.0231546241704
"2021-03-09",46.8534051634055
"2021-03-10",48.3591234081098
"2021-03-11",47.7919585229472
"2021-03-12",46.914365907224
"2021-03-13",45.9087811233934
"2021-03-14",46.5035764483781
"2021-03-15",46.57937439327
"2021-03-16",47.3416117002653
"2021-03-17",47.3884685244167
"2021-03-18",47.7982997160051
"2021-03-19",47.8088513734739
"2021-03-20",47.363705115001
