date,BTCUSDT,ETHUSDT,BNBUSDT,LTCUSDT,UCRY Policy Index,UCRY Price Index
2018-12-09,-16.011530637325592,-22.310065955156606,-10.339183343000224,-28.748496985924373,100.1351734,100.1936983
2018-12-16,-9.357223916278816,-9.6629943725989,-3.267101440143078,0.589508486539865,99.88829017,99.81935684
2018-12-23,19.649534407953627,42.12835878095687,25.537415255904346,25.61355986070506,99.96235514,100.1535903
2018-12-30,-3.306205977550646,6.554069259275315,-1.0984763999784921,-4.942730977875318,99.83891352,99.67229411
2019-01-06,4.7685974132064395,11.045746997428099,6.166703100302761,19.92791488817138,99.93766682,99.83272618
2019-01-13,-13.707433944251266,-29.844212486220776,-13.652573482894978,-25.801342977448193,100.2339267,100.0600049
2019-01-20,1.7808109904758913,2.858200866721376,15.736376861464246,3.4869878460272314,100.2092384,100.0600049
2019-01-27,0.32608785869460355,-4.72377815888586,9.512836782014162,4.997061847071685,99.83891352,99.81935684
2019-02-03,-2.646199816547372,-4.275752702356432,-3.6291885160251254,3.7475824873393346,100.0117318,99.96641957
2019-02-10,6.220685934562089,15.308560357362932,30.064510514331953,33.591671666162405,99.59203028,99.69903279
2019-02-17,-0.33970123743892383,6.669910897911499,0.5470467211515423,-6.352742030449889,99.96235514,99.99315825
2019-02-24,2.050498632028517,-1.2413174247836332,7.595627847699491,-0.36504717700025896,99.66609525,99.63218609
2019-03-03,1.7001433171829041,-1.141999468594894,14.075447920933254,8.97884696766038,100.1104851,100.3140224
2019-03-10,2.8241636578452636,3.587255335536425,22.713345027107554,16.75522086742052,99.41921201,99.55197006
2019-03-17,1.6288110351361536,2.4085239568077994,8.008178105629812,6.631508313068897,99.59203028,99.69903279
2019-03-24,0.27692371697559603,-1.878057819354654,9.433868290718776,-1.0807321083319545,99.64140693,99.81935684
2019-03-31,2.7612476945338127,3.8134869170581793,2.4707437989930603,1.097267866947545,99.54265363,99.67229411
2019-04-07,23.097498696968145,20.881016730926035,7.7578148715786694,41.457253924924224,99.96235514,100.0867436
2019-04-14,-0.7565873142566676,-4.089135765903688,2.265680956658699,-9.467684681380625,100.0611084,99.92631155
2019-04-21,2.4037878667338277,0.8099621434678403,21.34675579109028,-8.295881898889023,99.76484855,99.64555543
2019-04-28,0.9727765787809435,-6.582451682370922,-4.157332149171098,-9.232702782878551,99.66609525,99.67229411
2019-05-05,8.452092711197128,3.2411687231327644,-0.19521618015209818,7.985558295436541,99.88829017,99.95305023
2019-05-12,18.758360058415413,14.29699958696011,-9.50908607542808,11.269156976696966,99.7154719,100.0065276
2019-05-19,15.660219625465412,32.17683394040071,33.17240106804107,10.997630700535694,99.96235514,100.2872837
2019-05-26,5.560729733153319,1.885696000305245,12.813120913947461,16.008416409660445,99.96235514,100.0332663
2019-06-02,1.2866078574914404,1.661298590486126,0.1835621833996071,3.0083461225247947,100.0857968,100.1669597
2019-06-09,-13.446205262983128,-15.193405672990886,-9.676511627923306,0.23575649426546796,99.54265363,99.65892477
2019-06-16,16.01828000580504,14.764788330570621,6.725952095814798,17.398701967411068,99.64140693,99.71240213
2019-06-23,19.729398484241536,14.18076610731508,14.69349857208669,0.7665669952278548,100.7030049,100.3140224
2019-06-30,-0.4776626176444146,-5.263847736795823,-14.926147955125607,-10.94091041838265,100.6536282,100.4610851
2019-07-07,4.961768527798717,4.024512847250861,2.5225632097685606,-3.106581957489037,99.51796531,99.55197006
2019-07-14,-11.430743566950563,-29.95222600697356,-14.304642458567592,-28.712425462061564,100.0117318,99.91294221
2019-07-21,4.000508407557951,-0.20831955764098686,6.424683076351892,10.614093824049933,100.0364201,99.88620354
2019-07-28,-10.420332446711694,-6.299565304818764,-9.228409165104779,-10.235600663752763,99.96235514,99.84609552
2019-08-04,13.578595339042906,4.693877476110261,-1.349702836886294,2.891134349442014,100.1845501,100.3541304
2019-08-11,5.5241988162394025,-2.4510024093615823,9.935752086649945,-2.9689423898260974,100.0611084,100.1669597
2019-08-18,-11.388090845216036,-10.766321926689042,-8.075026309641487,-16.50141744389031,99.78953687,99.76587948
2019-08-25,-1.6048682132686904,-4.09120515778947,-6.703814469630324,-5.596337119661765,99.69078358,99.7391408
2019-09-01,-4.2055416029859245,-8.850376171655707,-19.69569739057671,-9.006735936517472,99.76484855,99.88620354
2019-09-08,6.529671848366081,5.940427286585578,4.500724228687836,6.563823494362889,99.76484855,99.67229411
2019-09-15,-0.7655529602559916,4.235952817405762,-9.942328947620041,-0.4558412451706257,99.54265363,99.71240213
2019-09-22,-2.6871088215181542,11.089981921003256,0.3448932454983059,3.078896464510431,100.1351734,100.180329
